sku	system_id	socket_0_avgpower	socket_0_energy	socket_1_avgpower	socket_1_energy	cpu_total_usage_iowait	cpu_cpu-total_usage_steal	cpu_total_usage_system	cpu_total_usage_user	cpu_frequency_b27jnz3_cpu_frequency_current	ipmi_sensor_3.1_value	ipmi_sensor_3.2_value	ipmi_sensor_cpu_usage_value	ipmi_sensor_pwr_consumption_value	mem_active	mem_available	mem_available_percent	mem_free	mem_total	mem_used	mem_used_percent	systemmetrics_timestamp_start	systemmetrics_timestamp_end	utc_timestamp	start_time	end_time	model_name	model_precision	batch_size	llm_temperature	max_new_tokens	input_tokens_length	workload	server_version	metrum_insights	num_replicas	requests_per_second	concurrent_requests	time_taken_for_tests	api_endpoint	completed_requests	failed_requests	p90_latency	p95_latency	p100_latency	total_transferred	total_body_sent	html_transferred	min_connect_time	mean_connect_time	max_connect_time	time_to_first_token_seconds_count_0	time_to_first_token_seconds_sum_0	total_generation_tokens_0	time_per_output_token_seconds_count_0	time_per_output_token_seconds_sum_0	total_prompt_tokens_0	time_to_first_token_seconds_count_1	time_to_first_token_seconds_sum_1	total_generation_tokens_1	time_per_output_token_seconds_count_1	time_per_output_token_seconds_sum_1	total_prompt_tokens_1	time_to_first_token_seconds_count_2	time_to_first_token_seconds_sum_2	total_generation_tokens_2	time_per_output_token_seconds_count_2	time_per_output_token_seconds_sum_2	total_prompt_tokens_2	time_to_first_token_seconds_count_3	time_to_first_token_seconds_sum_3	total_generation_tokens_3	time_per_output_token_seconds_count_3	time_per_output_token_seconds_sum_3	total_prompt_tokens_3	time_to_first_token_seconds_count_4	time_to_first_token_seconds_sum_4	total_generation_tokens_4	time_per_output_token_seconds_count_4	time_per_output_token_seconds_sum_4	total_prompt_tokens_4	time_to_first_token_seconds_count_5	time_to_first_token_seconds_sum_5	total_generation_tokens_5	time_per_output_token_seconds_count_5	time_per_output_token_seconds_sum_5	total_prompt_tokens_5	tokensinfo_completion_tokens_total	tokensinfo_prompt_tokens_total	tokensinfo_time_start	tokensinfo_time_end	model_parameter	cpu_energy_mean	ipmi_sensor_7.1_value
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	392957.0	1414820.403579	396280.0	1436398.599469	0.0	0	1.0367670213	45.0770690531	3076.465921875	87.0	86.0	40.0	1320.0	30863452160	1290314293248	79.5112052703	1257179772928	1622808117248	325000228864	20.0270275586	1727069870	1727069880	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344178.1824246862	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	391751.5	1414860.659461	398251.0	1436439.225235	0.0	0	0.9468567624	45.2044540112	3050.6601106771	86.0	85.0	40.0	1350.0	30863452160	1290317115392	79.5113791753	1257182556160	1622808117248	324997392384	20.0268527702	1727069880	1727069890	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344190.2448521862	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	388148.0	1414900.7414595	389838.0	1436479.4539835001	0.0	0	1.0315556832	45.2102878899	3052.4226731771	85.0	85.0	40.0	1350.0	30863452160	1290373617664	79.5148609345	1257238941696	1622808117248	324940926976	20.0233732825	1727069890	1727069900	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344202.2250056276	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	361897.5	1414940.3037005	362718.0	1436518.5063439999	0.0	0	0.9769195473000001	42.7694795811	3011.2341809896	85.0	84.0	40.0	1320.0	30863452160	1290410690560	79.517145425	1257276002304	1622808117248	324903839744	20.0210879087	1727069900	1727069910	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344213.5327951433	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	187112.0	1414968.0560734998	189274.0	1436545.3244	0.0005209894	0	0.7211356768	7.0624013099	2653.2192526042	85.0	83.0	40.0	1260.0	30863372288	1446078521344	89.1096430918	1412945422336	1622808117248	169237936128	10.428708997	1727069910	1727069920	2024-09-23 05:38:32	2024-09-23 05:36:03.878076315	2024-09-23 05:38:32.625030518	microsoft/Phi-3.5-mini-instruct	bfloat16	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	1.08	32	148.709	/v1/chat/completions	160	0	27194	28350	29182	215472	72800	195175	2319	23134	29182	27	14.5601866245	6286	6259	583.7745988369	4536	26	14.7830080986	5915	5889	566.0530693531	4422	27	15.616509676	6023	5996	582.3592810631	4615	26	15.4560670853	6093	6067	584.9945559502	4426	27	18.6959023476	6134	6107	583.2887225151	4673	27	18.8226089478	6581	6554	649.182331562	4745	37032	27417	2024-09-23T05:36:25Z	2024-09-23T05:38:32Z	NA	344219.3324766993	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	183757.0	1439655.9292605	181734.0	1461354.3714465	0.0002604587	0	0.0794463867	0.6720896419	2558.9793098958	81.0	85.0	3.0	600.0	31041492992	1274047969280	78.5088486888	1240860762112	1622808117248	341267372032	21.0294346204	1727078315	1727078325	2024-09-23 08:11:36	2024-09-23 07:58:31.614249468	2024-09-23 08:11:36.510844706	google/gemma-2b	float32	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	0.8200000000000001	128	784.86	/v1/chat/completions	640	0	159949	169972	184356	806174	280960	725086	772	120025	184356	107	442.9733541012	21446	21339	12272.0087954998	15883	107	279.8966579437	21022	20915	12159.1584653854	15983	106	433.1311781406	21241	21135	12692.8933181763	16042	107	448.279853344	20938	20831	12242.9780712128	16238	107	454.3205718994	22238	22131	12326.0741531849	16094	106	440.7121698856	21707	21601	12372.0758159161	15884	128592	96124	2024-09-23T08:00:26Z	2024-09-23T08:11:36Z	NA	350565.5292282162	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	189907.5	1439675.4570415001	179924.5	1461372.821188	0.0	0	0.09168321700000001	1.0079963146	2567.9611640625	83.0	82.0	3.0	600.0	31041550336	1274086459392	78.5112205103	1240899104768	1622808117248	341228847104	21.0270606535	1727078325	1727078335	2024-09-23 08:11:36	2024-09-23 07:58:31.614249468	2024-09-23 08:11:36.510844706	google/gemma-2b	float32	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	0.8200000000000001	128	784.86	/v1/chat/completions	640	0	159949	169972	184356	806174	280960	725086	772	120025	184356	107	442.9733541012	21446	21339	12272.0087954998	15883	107	279.8966579437	21022	20915	12159.1584653854	15983	106	433.1311781406	21241	21135	12692.8933181763	16042	107	448.279853344	20938	20831	12242.9780712128	16238	107	454.3205718994	22238	22131	12326.0741531849	16094	106	440.7121698856	21707	21601	12372.0758159161	15884	128592	96124	2024-09-23T08:00:26Z	2024-09-23T08:11:36Z	NA	350567.7201521068	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	189373.0	1439694.8655215	180049.5	1461391.2007495	0.0	0	0.0783996386	1.0225759914	2594.9167213542	81.0	80.0	3.0	630.0	31041550336	1274104125440	78.5123091201	1240916744192	1622808117248	341211185152	21.0259722961	1727078335	1727078345	2024-09-23 08:11:36	2024-09-23 07:58:31.614249468	2024-09-23 08:11:36.510844706	google/gemma-2b	float32	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	0.8200000000000001	128	784.86	/v1/chat/completions	640	0	159949	169972	184356	806174	280960	725086	772	120025	184356	107	442.9733541012	21446	21339	12272.0087954998	15883	107	279.8966579437	21022	20915	12159.1584653854	15983	106	433.1311781406	21241	21135	12692.8933181763	16042	107	448.279853344	20938	20831	12242.9780712128	16238	107	454.3205718994	22238	22131	12326.0741531849	16094	106	440.7121698856	21707	21601	12372.0758159161	15884	128592	96124	2024-09-23T08:00:26Z	2024-09-23T08:11:36Z	NA	350569.8635302605	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	191225.0	1439714.2736165	180679.5	1461409.560324	0.0	0	0.0794444665	1.025505359	2600.8674804687	79.0	79.0	3.0	600.0	31041550336	1274103214080	78.5122529607	1240915802112	1622808117248	341212098560	21.0260285818	1727078345	1727078355	2024-09-23 08:11:36	2024-09-23 07:58:31.614249468	2024-09-23 08:11:36.510844706	google/gemma-2b	float32	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	0.8200000000000001	128	784.86	/v1/chat/completions	640	0	159949	169972	184356	806174	280960	725086	772	120025	184356	107	442.9733541012	21446	21339	12272.0087954998	15883	107	279.8966579437	21022	20915	12159.1584653854	15983	106	433.1311781406	21241	21135	12692.8933181763	16042	107	448.279853344	20938	20831	12242.9780712128	16238	107	454.3205718994	22238	22131	12326.0741531849	16094	106	440.7121698856	21707	21601	12372.0758159161	15884	128592	96124	2024-09-23T08:00:26Z	2024-09-23T08:11:36Z	NA	350572.0030519257	
9684X	PowerEdge R7625  SKU:0AF9 ModelName:PowerEdge R7625 	190614.5	1439733.7199590001	179483.0	1461427.9007365	0.0	0	0.0690333848	0.9990846562000001	2579.9242760417	79.0	78.0	3.0	600.0	31041550336	1274100768768	78.5121022767	1240913344512	1622808117248	341214527488	21.0261782562	1727078355	1727078365	2024-09-23 08:11:36	2024-09-23 07:58:31.614249468	2024-09-23 08:11:36.510844706	google/gemma-2b	float32	1	1	256	128	amd_cpu_vllm	v0.6.0	v2.4.2	6	0.8200000000000001	128	784.86	/v1/chat/completions	640	0	159949	169972	184356	806174	280960	725086	772	120025	184356	107	442.9733541012	21446	21339	12272.0087954998	15883	107	279.8966579437	21022	20915	12159.1584653854	15983	106	433.1311781406	21241	21135	12692.8933181763	16042	107	448.279853344	20938	20831	12242.9780712128	16238	107	454.3205718994	22238	22131	12326.0741531849	16094	106	440.7121698856	21707	21601	12372.0758159161	15884	128592	96124	2024-09-23T08:00:26Z	2024-09-23T08:11:36Z	NA	350574.1367484818	
